Timestamp,Buildid,Cellname,Productarticlenumber,Lost Time in minutes,Linename,Product_expectedbuildtime,Actual_buildtime_step,Process_losttime,Interferencecomment,Interferencecategorymain,Interferencecategorysub,Productname
2023-06-12T04:33:42.265-07:00,435865,Pack Station,5370-273-323,0,Model Value Stream,600,89,0,,,,5370-273-323_HD C/B UM180-1020 90V GEN2
2023-06-12T04:25:35.283-07:00,438700,Pack Station,5370-273-323,0,Model Value Stream,600,127,0,,,,5370-273-323_HD C/B UM180-1020 90V GEN2
2023-06-12T04:11:33.497-07:00,438745,Pack Station,5370-273-323,0,Model Value Stream,600,19,0,,,,5370-273-323_HD C/B UM180-1020 90V GEN2
2023-06-12T05:25:24.241-07:00,441259,Pack Station,5370-273-323,0,Model Value Stream,600,136,0,,,,5370-273-323_HD C/B UM180-1020 90V GEN2
2023-06-09T11:04:04.121-07:00,442595,Kitting,5370-273-208,1.933256,Model Value Stream,600,400,116,Work order is for 2 modules.,Incorrect Kitting Standard Time,,5370-273-208_C/B UM-100-1020 24V GEN2
2023-06-09T08:06:42.235-07:00,438745,Kitting,5370-273-323,0,Model Value Stream,600,128,0,,,,5370-273-323_HD C/B UM180-1020 90V GEN2
2023-06-09T08:50:32.451-07:00,439021,Kitting,5370-273-323,0,Model Value Stream,600,119,0,,,,5370-273-323_HD C/B UM180-1020 90V GEN2
2023-06-09T09:15:02.283-07:00,441258,Kitting,5370-273-323,0,Model Value Stream,600,109,0,,,,5370-273-323_HD C/B UM180-1020 90V GEN2
2023-06-09T09:12:28.282-07:00,414036,Hub-Shaft-Armature Assembly,5370-270-214,0,Model Value Stream,360,1,0,,,,5370-270-214_CL EM-180-10 90V GEN2
2023-06-13T10:45:41.347-07:00,503770,Pack Station,5370-271-209,0,Model Value Stream,360,125,0,,,,5370-271-209_CL UM-100-1040 90V GEN2
2023-06-13T05:20:08.585-07:00,465605,Pack Station,5371-169-029,0,Model Value Stream,720,103,0,,,,5371-169-029_BK EM-210-20FBB 90V
2023-06-13T05:33:55.857-07:00,465880,Pack Station,5371-169-029,0,Model Value Stream,720,108,0,,,,5371-169-029_BK EM-210-20FBB 90V
2023-06-12T06:53:42.836-07:00,455431,Kitting,5370-169-214,0,Model Value Stream,360,115,0,,,,5370-169-214_BK EM-180-20 90V GEN2
2023-06-12T10:19:20.377-07:00,469081,Kitting,5370-170-220,0,Model Value Stream,360,242,0,,,,"5370-170-220_BRK ASSY,EM-180/ERS-49,90V"
2023-06-12T04:18:57.174-07:00,445211,Kitting,5370-273-213,3.233204,Model Value Stream,600,478,194,Work order is for 2 modules.,Incorrect Kitting Standard Time,,5370-273-213_C/B UM-180-1020 24V GEN2
2023-06-12T05:20:06.187-07:00,449082,Kitting,5370-273-214,0,Model Value Stream,600,226,0,,,,5370-273-214_C/B UM-180-1020 90V GEN2
2023-06-12T06:03:31.696-07:00,449944,Kitting,5370-273-214,0,Model Value Stream,600,106,0,,,,5370-273-214_C/B UM-180-1020 90V GEN2
2023-06-12T09:18:45.232-07:00,452151,Hub-Shaft-Armature Assembly,5370-273-209,0,Model Value Stream,600,222,0,,,,5370-273-209_C/B UM-100-1020 90V GEN2
2023-06-12T07:05:39.496-07:00,442805,Hub-Shaft-Armature Assembly,5370-273-213,0,Model Value Stream,600,348,0,,,,5370-273-213_C/B UM-180-1020 24V GEN2
2023-06-12T06:46:09.529-07:00,445994,Hub-Shaft-Armature Assembly,5370-273-213,0,Model Value Stream,600,11,0,,,,5370-273-213_C/B UM-180-1020 24V GEN2
2023-06-12T08:18:22.480-07:00,449082,Hub-Shaft-Armature Assembly,5370-273-214,0,Model Value Stream,600,238,0,,,,5370-273-214_C/B UM-180-1020 90V GEN2
2023-06-12T08:36:40.137-07:00,449148,Hub-Shaft-Armature Assembly,5370-273-214,0,Model Value Stream,600,135,0,,,,5370-273-214_C/B UM-180-1020 90V GEN2
2023-06-12T07:53:03.356-07:00,449153,Hub-Shaft-Armature Assembly,5370-273-214,0,Model Value Stream,600,224,0,,,,5370-273-214_C/B UM-180-1020 90V GEN2
2023-06-12T04:55:25.902-07:00,442459,Hub-Shaft-Armature Assembly,5370-273-323,0,Model Value Stream,600,3,0,,,,5370-273-323_HD C/B UM180-1020 90V GEN2
2023-06-12T05:52:31.912-07:00,442557,Housing Assembly,5370-273-208,8.816314,Model Value Stream,600,1129,529,Went over cycle time- no issues checking WO to see what housing to machine ,Operator Error/Mistake,,5370-273-208_C/B UM-100-1020 24V GEN2
2023-06-12T06:20:24.013-07:00,442797,Housing Assembly,5370-273-208,0,Model Value Stream,600,596,0,,,,5370-273-208_C/B UM-100-1020 24V GEN2
